物種,出現樣區
冷清草,4
姑婆芋,4
黃藤,1
柚葉藤,1
弧脈鳳尾蕨,2
崖薑蕨,1
五掌楠,1
風藤,1
台灣崖爬藤,1
台灣山蘇花,1
圓葉雞屎樹,1
琉球雞屎樹,1
江某,3
台灣山香圓,1
樹杞,1
台灣杉,4
長梗紫麻葉,1
