Species,DBH,Note
紫花霍香薊,38,Non
愚毛茛,6.2,Non
車前草,1.5,Non
Unkown 1,3.2,馬鞭草科
青芳草,1.7,Non
Unkown 3,23,Non
Unkown 4,0.7,克菲亞科
黃花酢醬草,0.2,Non
蛇莓,2.7,Non
Unkown 5,1.9,禾本科
雷公根,0.5,Non
馬蹄金,11.2,Non
短葉水蜈蚣,9.3,Non
艾,3.1,Non
Unkown 6,0.1,鴨跖草科
大花咸豐草,5,Non
