Quadrant,Species,DBH,Note
1,厚葉鱗蓋蕨,53,蕨類
1,冷清草,44,Non
1,姑婆芋,5,Non
1,來蕨,1,蕨類
1,荖藤,17,Non
2,冷青草,93,Non
3,冷青草,69,Non
3,姑婆芋,7,Non
3,臺灣山桂花,4,Non
3,荖藤,10,Non
3,山蘇,3,Non
4,冷青草,75,Non
4,姑婆芋,25,Non
4,海南實蕨,14,蕨類；粗毛鱗蓋蕨
4,荖藤,20,Non
4,矮薑蕨,5,Non
4,江某,5,Non
