物種,觀察,數量,棲地類型,備註
拉督希氏赤蛙,鳴叫,0,,
,目擊,35,靜水域；森林底層,
布氏樹蛙,鳴叫,0,,
,目擊,3,靜水域；森林底層,
黑蒙西氏小雨蛙,鳴叫,2,,
,目擊,0,,
莫氏樹蛙,鳴叫,2,,
,目擊,1,靜水域；森林底層,
日本樹蛙,鳴叫,4,,
,目擊,4,流水域；開發地,蝌蚪 >50
面天樹蛙,鳴叫,1,,
,目擊,0,,
斯文豪氏樹蛙,鳴叫,3,,
,目擊,2,流水域,
褐樹蛙,鳴叫,0,,
,目擊,10,流水域,
盤古蟾蜍,鳴叫,0,,
,目擊,2,農墾地,
